timestamp,date,sector,job_count
20130513011407,2013-05-13 01:14:07,Banking and finance,18
20130513011407,2013-05-13 01:14:07,General insurance,267
20130513011407,2013-05-13 01:14:07,Health,14
20130513011407,2013-05-13 01:14:07,Hedge funds,6
20130513011407,2013-05-13 01:14:07,Investment,61
20130513011407,2013-05-13 01:14:07,IT,10
20130513011407,2013-05-13 01:14:07,Life insurance,166
20130513011407,2013-05-13 01:14:07,Management consultancy,27
20130513011407,2013-05-13 01:14:07,Pensions,86
20130513011407,2013-05-13 01:14:07,Reinsurance,56
20130513011407,2013-05-13 01:14:07,Risk management,59
20130513011407,2013-05-13 01:14:07,Solvency II,19
20130513011407,2013-05-13 01:14:07,Systems,12
20130513011407,2013-05-13 01:14:07,Other,43
20130701143512,2013-07-01 14:35:12,Banking and finance,25
20130701143512,2013-07-01 14:35:12,General insurance,251
20130701143512,2013-07-01 14:35:12,Health,11
20130701143512,2013-07-01 14:35:12,Hedge funds,5
20130701143512,2013-07-01 14:35:12,Investment,39
20130701143512,2013-07-01 14:35:12,IT,9
20130701143512,2013-07-01 14:35:12,Life insurance,181
20130701143512,2013-07-01 14:35:12,Management consultancy,29
20130701143512,2013-07-01 14:35:12,Pensions,64
20130701143512,2013-07-01 14:35:12,Reinsurance,43
20130701143512,2013-07-01 14:35:12,Risk management,48
20130701143512,2013-07-01 14:35:12,Solvency II,24
20130701143512,2013-07-01 14:35:12,Systems,10
20130701143512,2013-07-01 14:35:12,Other,23
20130702221354,2013-07-02 22:13:54,Banking and finance,25
20130702221354,2013-07-02 22:13:54,General insurance,263
20130702221354,2013-07-02 22:13:54,Health,11
20130702221354,2013-07-02 22:13:54,Hedge funds,5
20130702221354,2013-07-02 22:13:54,Investment,39
20130702221354,2013-07-02 22:13:54,IT,9
20130702221354,2013-07-02 22:13:54,Life insurance,193
20130702221354,2013-07-02 22:13:54,Management consultancy,33
20130702221354,2013-07-02 22:13:54,Pensions,67
20130702221354,2013-07-02 22:13:54,Reinsurance,47
20130702221354,2013-07-02 22:13:54,Risk management,51
20130702221354,2013-07-02 22:13:54,Solvency II,25
20130702221354,2013-07-02 22:13:54,Systems,12
20130702221354,2013-07-02 22:13:54,Other,23
20130712221701,2013-07-12 22:17:01,Banking and finance,25
20130712221701,2013-07-12 22:17:01,General insurance,292
20130712221701,2013-07-12 22:17:01,Health,8
20130712221701,2013-07-12 22:17:01,Hedge funds,4
20130712221701,2013-07-12 22:17:01,Investment,40
20130712221701,2013-07-12 22:17:01,IT,7
